	Geneid	Gene symbol	Gene name	Fold Change	q-value (%)	Negative Fold Change
NM_177434	24140.0	FTSJ1	FtsJ homolog 1 (E. coli)	2.55430808	1.4567723	
NM_012280	24140.0	FTSJ1	FtsJ homolog 1 (E. coli)	2.55430808	1.4567723	
NM_000147	2517.0	FUCA1	fucosidase, alpha-L- 1, tissue	0.27459767	1.7079054	-3.641691497
NM_032020	2519.0	FUCA2	fucosidase, alpha-L- 2, plasma	0.2642854	1.7079054	-3.7837882830000003
NM_023934	65991.0	FUNDC2	FUN14 domain containing 2	2.65095224	0.637618	
NM_199335	2533.0	FYB	FYN binding protein (FYB-120/130)	2.54639467	2.1038158	
NM_001465	2533.0	FYB	FYN binding protein (FYB-120/130)	3.66547147	0.637618	
NM_003506	8323.0	FZD6	frizzled homolog 6 (Drosophila)	0.26507945	3.3991674	-3.772453881
NM_181427	2553.0	GABPB2	GA binding protein transcription factor, beta subunit 2	3.16854549	1.219488	
NM_002041	2553.0	GABPB2	GA binding protein transcription factor, beta subunit 2	3.16854549	1.219488	
NM_016655	2553.0	GABPB2	GA binding protein transcription factor, beta subunit 2	3.16854549	1.219488	
NM_052850	90480.0	GADD45GIP1	growth arrest and DNA-damage-inducible, gamma interacting protein 1	2.07272404	2.6012277000000004	
NM_000403	2582.0	GALE	UDP-galactose-4-epimerase	2.6094708	4.3199052	
NM_001008216	2582.0	GALE	UDP-galactose-4-epimerase	2.6094708	4.3199052	
NM_014568	11227.0	GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	0.36113941	2.4912595	-2.769013772
NM_000155	2592.0	GALT	galactose-1-phosphate uridylyltransferase	1.82476672	3.797649	
NM_000156	2593.0	GAMT	guanidinoacetate N-methyltransferase	3.74878378	0.0	
NM_194301	253959.0	GARNL1	GTPase activating Rap/RanGAP domain-like 1	0.36369088	2.4912595	-2.749587782
NM_014990	253959.0	GARNL1	GTPase activating Rap/RanGAP domain-like 1	0.36369088	2.4912595	-2.749587782
NM_013976	2639.0	GCDH	glutaryl-Coenzyme A dehydrogenase	2.1962521	4.9341886	
NM_001007270	79760.0	GEMIN7	gem (nuclear organelle) associated protein 7	2.59432963	0.637618	
NM_001007269	79760.0	GEMIN7	gem (nuclear organelle) associated protein 7	2.59432963	0.637618	
NM_024707	79760.0	GEMIN7	gem (nuclear organelle) associated protein 7	2.59432963	0.637618	
NM_005262	2671.0	GFER	growth factor, augmenter of liver regeneration (ERV1 homolog, S. cerevisiae)	1.85726036	2.4738185	
NM_005110	9945.0	GFPT2	glutamine-fructose-6-phosphate transaminase 2	0.13693966	0.0	-7.302486365
NM_003878	8836.0	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	0.27214405	2.4912595	-3.674524576
NM_153338	124975.0	GGT6	gamma-glutamyltransferase 6 homolog (rat)	2.05697164	0.8855806	
NM_080839	91227.0	GGTL4	gamma-glutamyltransferase-like 4	2.41277376	1.219488	
NM_199127	91227.0	GGTL4	gamma-glutamyltransferase-like 4	2.41277376	1.219488	
NM_014030	28964.0	GIT1	G protein-coupled receptor kinase interactor 1	1.91606182	3.797649	
NM_057169	9815.0	GIT2	G protein-coupled receptor kinase interactor 2	0.42469047	3.9508566	-2.354656086
NM_014776	9815.0	GIT2	G protein-coupled receptor kinase interactor 2	0.42469047	3.9508566	-2.354656086
NM_057170	9815.0	GIT2	G protein-coupled receptor kinase interactor 2	0.42469047	3.9508566	-2.354656086
NM_006851	11010.0	GLIPR1	GLI pathogenesis-related 1 (glioma)	4.88437814	0.0	
NM_031302	83468.0	GLT8D2	glycosyltransferase 8 domain containing 2	0.2061741	1.7079054	-4.8502697480000005
NM_001500	2762.0	GMDS	GDP-mannose 4,6-dehydratase	2.66266881	1.4567723	
NM_013334	29925.0	GMPPB	GDP-mannose pyrophosphorylase B	2.94692454	1.4706181	
NM_021971	29925.0	GMPPB	GDP-mannose pyrophosphorylase B	2.94692454	1.4706181	
NM_002068	2769.0	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	2.49817767	1.9982331000000002	
NM_005273	2783.0	GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2	3.16506907	0.637618	
NM_198066	64841.0	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1	1.92340359	4.9341886	
NM_002076	2799.0	GNS	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	0.35005025	3.2351467	-2.856732712
NM_002078	2803.0	GOLGA4	golgi autoantigen, golgin subfamily a, 4	0.35099793	1.7079054	-2.8490196510000003
NM_054022	9570.0	GOSR2	golgi SNAP receptor complex member 2	1.81773266	3.797649	
NM_001012511	9570.0	GOSR2	golgi SNAP receptor complex member 2	2.36327722	0.637618	
NM_180989	160897.0	GPR180	G protein-coupled receptor 180	0.31102442	1.7079054	-3.215181625
NM_004127	2873.0	GPS1	G protein pathway suppressor 1	2.32282145	3.9508566	
NM_212492	2873.0	GPS1	G protein pathway suppressor 1	2.32282145	3.9508566	
NM_133443	84706.0	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2	2.57763984	0.637618	
NM_002083	2877.0	GPX2	glutathione peroxidase 2 (gastrointestinal)	13.03912286	0.0	
NM_002084	2878.0	GPX3	glutathione peroxidase 3 (plasma)	2.92914213	2.4738185	
NM_002086	2885.0	GRB2	growth factor receptor-bound protein 2	2.29529022	1.9982331000000002	
NM_203506	2885.0	GRB2	growth factor receptor-bound protein 2	2.29529022	1.9982331000000002	
NM_001517	2968.0	GTF2H4	general transcription factor IIH, polypeptide 4, 52kDa	3.25533153	0.637618	
NM_012227	8225.0	GTPBP6	GTP binding protein 6 (putative)	1.97411558	3.9508566	
NM_000858	2987.0	GUK1	guanylate kinase 1	3.07490958	0.637618	
NM_016315	51454.0	GULP1	GULP, engulfment adaptor PTB domain containing 1	0.342221	1.7079054	-2.9220883580000003
NM_018649	55506.0	H2AFY2	H2A histone family, member Y2	2.09010666	1.9982331000000002	
NM_005327	3033.0	HADHSC	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	2.46664167	1.4706181	
NM_001018837	10456.0	HAX1	HCLS1 associated protein X-1	2.11387052	3.797649	
NM_006118	10456.0	HAX1	HCLS1 associated protein X-1	2.11387052	3.797649	
NM_005333	3052.0	HCCS	holocytochrome c synthase (cytochrome c heme-lyase)	2.15970857	4.6110465	
NM_031219	81932.0	HDHD3	haloacid dehalogenase-like hydrolase domain containing 3	2.17253247	1.5613079	
NM_015987	50865.0	HEBP1	heme binding protein 1	2.09132509	1.9393426	
NM_001017972	26091.0	HERC4	hect domain and RLD 4	0.4870122	3.9508566	-2.053336652
NM_015601	26091.0	HERC4	hect domain and RLD 4	0.4870122	3.9508566	-2.053336652
NM_007071	11147.0	HHLA3	HERV-H LTR-associating 3	2.10984718	3.6724242999999994	
NM_013332	29923.0	HIG2	hypoxia-inducible protein 2	3.31405563	0.637618	
NM_138820	192286.0	HIGD2A	HIG1 domain family, member 2A	2.24913776	3.753678	
NM_005319	3006.0	HIST1H1C	histone 1, H1c	10.82944809	0.0	
NM_080593	85236.0	HIST1H2BK	histone 1, H2bk	2.24756273	3.797649	
NM_002134	3163.0	HMOX2	heme oxygenase (decycling) 2	2.7157392000000002	0.637618	
NM_004499	3182.0	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B	2.10969562	3.6724242999999994	
NM_031266	3182.0	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B	2.10969562	3.6724242999999994	
NM_016522	50863.0	HNT	neurotrimin	2.05581107	3.753678	
NM_004502	3217.0	HOXB7	homeobox B7	1.9965386999999999	1.219488	
NM_017409	3226.0	HOXC10	homeobox C10	2.67563924	1.9393426	
NM_017410	3229.0	HOXC13	homeobox C13	3.50298155	1.4706181	
NM_005343	3265.0	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	2.0271793000000002	3.3991674	
NM_176795	3265.0	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	2.0271793000000002	3.3991674	
NM_020677	57407.0	HSCARG	HSCARG protein	1.78975644	3.9508566	
NM_181755	3290.0	HSD11B1	hydroxysteroid (11-beta) dehydrogenase 1	0.11023745	1.7079054	-9.071327393999999
NM_005525	3290.0	HSD11B1	hydroxysteroid (11-beta) dehydrogenase 1	0.11023745	1.7079054	-9.071327393999999
NM_000413	3292.0	HSD17B1	hydroxysteroid (17-beta) dehydrogenase 1	3.56211261	1.5613079	
NM_014234	7923.0	HSD17B8	hydroxysteroid (17-beta) dehydrogenase 8	2.64215487	0.637618	
NM_007031	11077.0	HSF2BP	heat shock transcription factor 2 binding protein	2.61829063	0.637618	
NM_014047	28974.0	HSPC023	HSPC023 protein	2.94456717	1.9393426	
NM_016391	51491.0	HSPC111	hypothetical protein HSPC111	2.2098071	2.3697766	
NM_014173	29086.0	HSPC142	HSPC142 protein	2.38848985	0.8369687	
NM_014181	29094.0	HSPC159	HSPC159 protein	2.34163219	2.4738185	
NM_014187	29100.0	HSPC171	HSPC171 protein	2.30845794	2.3206861	
NM_016209	51693.0	HSPC176	hematopoietic stem/progenitor cells 176	2.29300296	2.4738185	
NM_013247	27429.0	HTRA2	HtrA serine peptidase 2	2.18036019	1.219488	
NM_031207	81888.0	HYI	hydroxypyruvate isomerase homolog (E. coli)	2.47576257	1.3001076	
NM_002162	3385.0	ICAM3	intercellular adhesion molecule 3	2.71906976	2.4738185	
NM_002167	3399.0	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	2.69004676	0.637618	
NM_174856	3420.0	IDH3B	isocitrate dehydrogenase 3 (NAD+) beta	2.19752903	2.4738185	
NM_006899	3420.0	IDH3B	isocitrate dehydrogenase 3 (NAD+) beta	2.19752903	2.4738185	
NM_004135	3421.0	IDH3G	isocitrate dehydrogenase 3 (NAD+) gamma	1.98811794	3.3991674	
NM_006123	3423.0	IDS	iduronate 2-sulfatase (Hunter syndrome)	2.41834942	2.6012277000000004	
NM_006332	10437.0	IFI30	interferon, gamma-inducible protein 30	0.29736898	3.753678	-3.362825537
NM_006764	7866.0	IFRD2	interferon-related developmental regulator 2	4.62642964	0.637618	
NM_174887	90410.0	IFT20	intraflagellar transport 20 homolog (Chlamydomonas)	2.21299582	0.8855806	
NM_025103	80173.0	IFT74	intraflagellar transport 74 homolog (Chlamydomonas)	0.42527692	3.6724242999999994	-2.351409054
NM_001552	3487.0	IGFBP4	insulin-like growth factor binding protein 4	2.71099323	0.637618	
NM_001560	3597.0	IL13RA1	interleukin 13 receptor, alpha 1	1.67179983	4.9341886	
NM_001562	3606.0	IL18	interleukin 18 (interferon-gamma-inducing factor)	3.96161955	0.637618	
NM_019618	56300.0	IL1F9	interleukin 1 family, member 9	10.22085912	0.0	
NM_173843	3557.0	IL1RN	interleukin 1 receptor antagonist	2.0113448	2.1038158	
NM_016584	51561.0	IL23A	interleukin 23, alpha subunit p19	2.52179648	0.637618	
NM_004515	3608.0	ILF2	interleukin enhancer binding factor 2, 45kDa	2.35541385	0.8855806	
NM_032549	83943.0	IMMP2L	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	1.67950945	4.9341886	
NM_033416	92856.0	IMP4	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	2.37238766	2.1038158	
NM_024726	79781.0	IQCA	IQ motif containing with AAA domain	2.19401889	0.637618	
NM_003870	8826.0	IQGAP1	IQ motif containing GTPase activating protein 1	0.31587656	1.7079054	-3.165793625
NM_006633	10788.0	IQGAP2	IQ motif containing GTPase activating protein 2	0.46313156	2.0161834	-2.15921368
NM_001570	3656.0	IRAK2	interleukin-1 receptor-associated kinase 2	0.26506641	1.7079054	-3.772639468
NM_024710	79763.0	ISOC2	isochorismatase domain containing 2	2.4082734	1.5613079	
NM_018463	55846.0	ITFG2	integrin alpha FG-GAP repeat containing 2	1.72133286	3.753678	
NM_002208	3682.0	ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	2.53757763	0.637618	
NM_002210	3685.0	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	0.29606866	1.7079054	-3.3775949130000003
NM_004763	9270.0	ITGB1BP1	integrin beta 1 binding protein 1	2.33174328	3.753678	
NM_002213	3693.0	ITGB5	integrin, beta 5	0.47644504	4.6110465	-2.098877973
NM_004791	9358.0	ITGBL1	integrin, beta-like 1 (with EGF-like repeat domains)	2.06470063	1.219488	
NM_033453	3704.0	ITPA	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	2.58917693	0.8855806	
NM_181493	3704.0	ITPA	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	2.58917693	0.8855806	
NM_006618	10765.0	JARID1B	Jumonji, AT rich interactive domain 1B (RBP2-like)	0.5023454	3.9508566	-1.990662202
NM_138334	126119.0	JOSD2	Josephin domain containing 2	1.90959146	3.9508566	
NM_004693	9119.0	K6HF	cytokeratin type II	11.19009016	0.637618	
NM_002243	3772.0	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	2.85356994	1.9393426	
NM_170736	3772.0	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	2.85356994	1.9393426	
NM_170737	3772.0	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	2.85356994	1.9393426	
NM_000891	3759.0	KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2	1.64555585	3.9508566	
NM_001002914	147040.0	KCTD11	potassium channel tetramerisation domain containing 11	2.02781846	4.9341886	
NM_014846	9897.0	KIAA0196	KIAA0196	0.49628231	4.9341886	-2.014982158
NM_015324	23378.0	KIAA0409	KIAA0409	2.97295764	1.4706181	
NM_015203	23248.0	KIAA0460	KIAA0460	0.41303959	2.1038158	-2.421075423
NM_014802	9847.0	KIAA0528	KIAA0528	0.37797975	2.4912595	-2.645644376
NM_014953	22894.0	KIAA1008	KIAA1008	0.40633991	2.1038158	-2.460993802
NM_020336	57148.0	KIAA1219	KIAA1219	0.32860647	1.7079054	-3.043153715
NM_020943	57703.0	KIAA1604	KIAA1604 protein	0.32283005	1.7079054	-3.0976050710000003
NM_020970	57730.0	KIAA1641	KIAA1641	0.20299601	0.0	-4.9262052
NM_053042	85460.0	KIAA1729	KIAA1729 protein	0.49878066	3.2351467	-2.0048892830000002
NM_032437	84455.0	KIAA1799	KIAA1799 protein	0.34317652	2.6012277000000004	-2.913952272
NM_004520	3796.0	KIF2	kinesin heavy chain member 2	0.33016895	3.2351467	-3.028752401
NM_007054	11127.0	KIF3A	kinesin family member 3A	0.27859612	2.0161834	-3.589425438
NM_014970	22920.0	KIFAP3	kinesin-associated protein 3	0.4654558	3.6724242999999994	-2.148431709
NM_012427	25818.0	KLK5	kallikrein 5	14.46407224	0.0	
NM_199187	3875.0	KRT18	keratin 18	2.70644767	3.9508566	
NM_000224	3875.0	KRT18	keratin 18	2.70644767	3.9508566	
NM_182926	3895.0	KTN1	kinectin 1 (kinesin receptor)	0.37663040000000003	3.2351467	-2.6551229
NM_003937	8942.0	KYNU	kynureninase (L-kynurenine hydrolase)	3.04208474	0.637618	
NM_013995	3920.0	LAMP2	lysosomal-associated membrane protein 2	0.45520848	4.6110465	-2.196795631
NM_015155	23185.0	LARP5	La ribonucleoprotein domain family, member 5	0.46366086	3.3991674	-2.156748793
NM_197958	55323.0	LARP6	La ribonucleoprotein domain family, member 6	2.14413586	1.0218237	
NM_030915	81606.0	LBH	hypothetical protein DKFZp566J091	3.99802998	1.4567723	
NM_016309	51451.0	LCMT1	leucine carboxyl methyltransferase 1	1.93099732	3.753678	
NM_005564	3934.0	LCN2	lipocalin 2 (oncogene 24p3)	3.94798973	0.637618	
NM_002298	3936.0	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	0.19260633	1.7079054	-5.191937357
NM_001001552	93273.0	LEMD1	LEM domain containing 1	2.46626832	0.637618	
NM_000235	3988.0	LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	0.39146743	3.797649	-2.5544909319999998
NM_018368	55788.0	LMBRD1	LMBR1 domain containing 1	0.42893532	4.6110465	-2.331353827
NM_032737	84823.0	LMNB2	lamin B2	1.92314913	3.9508566	
NM_138428	113444.0	LOC113444	hypothetical protein BC011880	2.3665258999999996	2.5903232000000003	
NM_001013619	123688.0	LOC123688	similar to RIKEN cDNA C630028N24 gene	1.65870717	4.3199052	
NM_001002836	126208.0	LOC126208	hypothetical protein LOC126208	2.42860055	1.219488	
NM_001017965	150223.0	LOC150223	hypothetical protein LOC150223	2.19076248	2.1038158	
NM_001017964	150223.0	LOC150223	hypothetical protein LOC150223	2.19076248	2.1038158	
NM_153607	153222.0	LOC153222	adult retina protein	0.34678452	3.9508566	-2.88363506
NM_001012759	348180.0	LOC348180	hypothetical protein LOC348180, isoform 1	2.16180187	1.0218237	
NM_001012762	348180.0	LOC348180	hypothetical protein LOC348180, isoform 1	2.16180187	1.0218237	
NM_207376	387882.0	LOC387882	hypothetical protein	1.97014052	4.3199052	
NM_001013642	388610.0	LOC388610	hypothetical LOC388610	2.94315758	0.637618	
NM_207644	388886.0	LOC388886	similar to hypothetical protein LOC192734	2.13172814	4.3199052	
NM_001008395	389541.0	LOC389541	similar to CG14977-PA	3.00264192	0.637618	
NM_212554	399818.0	LOC399818	similar to CG9643-PA	2.01092616	2.6012277000000004	
NM_001013672	400566.0	LOC400566	hypothetical gene supported by AK128660	2.01441777	2.9727196	
NM_016494	51255.0	LOC51255	hypothetical protein LOC51255	2.71977577	0.637618	
NM_032574	84661.0	LOC84661	dpy-30-like protein	1.83650801	3.3991674	
NM_138358	90580.0	LOC90580	hypothetical protein BC011833	2.44418112	3.3991674	
NM_138364	90826.0	LOC90826	hypothetical protein BC004337	0.39515729	2.3206861	-2.530637863
NM_033318	91689.0	LOC91689	hypothetical gene supported by AL449243	1.84617333	4.3199052	
NM_001017920	92196.0	LOC92196	similar to death-associated protein	0.07875089999999998	1.7079054	-12.69826758
NM_138401	93343.0	LOC93343	hypothetical protein BC011840	2.66539814	2.4738185	
NM_138402	93349.0	LOC93349	hypothetical protein BC004921	0.39951999	4.6110465	-2.5030036669999998
NM_004811	9404.0	LPXN	leupaxin	7.90702044	0.637618	
NM_006726	987.0	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	0.29019114	1.7079054	-3.4460045889999997
NM_153377	121227.0	LRIG3	leucine-rich repeats and immunoglobulin-like domains 3	0.40058395	4.9341886	-2.4963556330000003
NM_144598	123355.0	LRRC28	leucine rich repeat containing 28	2.90240492	1.219488	
NM_052888	114659.0	LRRC37B	leucine rich repeat containing 37B	0.42031901	3.3991674	-2.379145307
NM_032270	84230.0	LRRC8C	leucine rich repeat containing 8 family, member C	0.37249835	1.7079054	-2.68457565
NM_014462	27257.0	LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	2.56750726	1.0218237	
NM_021177	57819.0	LSM2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	2.20138369	3.3991674	
NM_012321	25804.0	LSM4	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	2.23234804	1.4567723	
NM_016199	51690.0	LSM7	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	3.27810773	1.219488	
NM_015925	51599.0	LSR	lipolysis stimulated lipoprotein receptor	0.40957751	3.753678	-2.441540308
NM_205835	51599.0	LSR	lipolysis stimulated lipoprotein receptor	0.40957751	3.753678	-2.441540308
NM_205834	51599.0	LSR	lipolysis stimulated lipoprotein receptor	0.40957751	3.753678	-2.441540308
NM_181657	1241.0	LTB4R	leukotriene B4 receptor	0.35642204	1.7079054	-2.805662635
NM_002349	4065.0	LY75	lymphocyte antigen 75	3.36343389	0.637618	
NM_007260	11313.0	LYPLA2	lysophospholipase II	2.30589086	1.9982331000000002	
NM_005461	9935.0	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	0.28990776	3.6724242999999994	-3.449373001
NM_015274	23324.0	MAN2B2	mannosidase, alpha, class 2B, member 2	0.41181140000000005	3.3991674	-2.42829606
NM_152496	149175.0	MANEAL	mannosidase, endo-alpha-like	0.37166361	2.9727196	-2.6906050880000003
NM_005909	4131.0	MAP1B	microtubule-associated protein 1B	0.11187471	1.7079054	-8.938570656
NM_032010	4131.0	MAP1B	microtubule-associated protein 1B	0.11187471	1.7079054	-8.938570656
NM_002374	4133.0	MAP2	microtubule-associated protein 2	3.6081015	0.637618	
NM_031845	4133.0	MAP2	microtubule-associated protein 2	3.6081015	0.637618	
NM_031847	4133.0	MAP2	microtubule-associated protein 2	3.6081015	0.637618	
NM_031846	4133.0	MAP2	microtubule-associated protein 2	3.6081015	0.637618	
NM_030662	5605.0	MAP2K2	mitogen-activated protein kinase kinase 2	2.23190817	2.0161834	
NM_145110	5606.0	MAP2K3	mitogen-activated protein kinase kinase 3	2.11911984	3.6724242999999994	
NM_145109	5606.0	MAP2K3	mitogen-activated protein kinase kinase 3	2.11911984	3.6724242999999994	
NM_002756	5606.0	MAP2K3	mitogen-activated protein kinase kinase 3	2.11911984	3.6724242999999994	
NM_005204	1326.0	MAP3K8	mitogen-activated protein kinase kinase kinase 8	0.12040709	1.7079054	-8.305158774
NM_033141	4293.0	MAP3K9	mitogen-activated protein kinase kinase kinase 9	2.35924423	1.219488	
NM_014017	28956.0	MAPBPIP	mitogen-activated protein-binding protein-interacting protein	2.411655	1.219488	
NM_001006619	79109.0	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.9444004000000001	2.1038158	
NM_001006617	79109.0	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.9444004000000001	2.1038158	
NM_001006621	79109.0	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.87918696	3.9508566	
NM_024117	79109.0	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.9444004000000001	2.1038158	
NM_001006620	79109.0	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.87918696	3.9508566	
NM_001006618	79109.0	MAPKAP1	mitogen-activated protein kinase associated protein 1	2.89365465	1.219488	
NM_004635	7867.0	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	1.95951351	4.9341886	
NM_023009	65108.0	MARCKSL1	MARCKS-like 1	3.74932036	1.9393426	
NM_031417	57787.0	MARK4	MAP/microtubule affinity-regulating kinase 4	2.33202635	2.1038158	
NM_032844	84930.0	MASTL	microtubule associated serine/threonine kinase-like	0.23805672	3.9508566	-4.200679569
NM_030583	4147.0	MATN2	matrilin 2	3.69767168	0.0	
NM_002380	4147.0	MATN2	matrilin 2	3.69767168	0.0	
NM_018834	9782.0	MATR3	matrin 3	0.41971401	1.7079054	-2.3825747440000002
NM_003926	53615.0	MBD3	methyl-CpG binding domain protein 3	1.87594088	3.9508566	
NM_018298	55283.0	MCOLN3	mucolipin 3	0.48854283	4.3199052	-2.046903441
NM_014060	28985.0	MCTS1	malignant T cell amplified sequence 1	1.94910983	2.0161834	
NM_018467	55850.0	MDS032	uncharacterized hematopoietic stem/progenitor cells protein MDS032	2.3575098	2.3206861	
NM_014623	4201.0	MEA1	male-enhanced antigen 1	2.62397799	1.219488	
NM_001001683	400569.0	MED11	mediator of RNA polymerase II transcription, subunit 11 homolog (S. cerevisiae)	2.13937022	3.6724242999999994	
NM_001001653	112950.0	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.38502111	2.4738185	
NM_001001651	112950.0	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.34192623	1.9982331000000002	
NM_052877	112950.0	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.34192623	1.9982331000000002	
NM_201542	112950.0	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.37491404	2.0161834	
NM_001001654	112950.0	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.38502111	2.4738185	
NM_177524	4232.0	MEST	mesoderm specific transcript homolog (mouse)	1.98915577	1.5613079	
NM_002402	4232.0	MEST	mesoderm specific transcript homolog (mouse)	1.98915577	1.5613079	
NM_177525	4232.0	MEST	mesoderm specific transcript homolog (mouse)	1.98915577	1.5613079	
NM_003480	8076.0	MFAP5	microfibrillar associated protein 5	5.48086777	0.0	
NM_033316	4241.0	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	3.11050065	0.637618	
NM_032325	84285.0	MGC11102	hypothetical protein MGC11102	1.97856804	4.6110465	
NM_032366	84326.0	MGC13114	hypothetical protein MGC13114	2.44896678	2.4738185	
NM_199250	84798.0	MGC13170	multidrug resistance-related protein	2.28796649	3.753678	
NM_199249	84798.0	MGC13170	multidrug resistance-related protein	2.28796649	3.753678	
NM_016499	51259.0	MGC13379	HSPC244	2.42341503	3.9508566	
NM_053045	94107.0	MGC14327	hypothetical protein MGC14327	1.72604332	3.9508566	
NM_032921	85007.0	MGC15875	hypothetical protein LOC85007, isoform 2	1.82400534	3.2351467	
NM_153373	85007.0	MGC15875	hypothetical protein LOC85007, isoform 2	1.82400534	3.2351467	
NM_145039	92806.0	MGC16385	hypothetical protein MGC16385	2.48451879	1.9982331000000002	
NM_080665	112812.0	MGC19604	similar to RIKEN cDNA B230118G17 gene	2.05667606	1.219488	
NM_052861	92070.0	MGC21675	hypothetical protein MGC21675	2.00785818	2.4738185	
NM_145030	221908.0	MGC22793	hypothetical protein MGC22793	2.05999063	2.9727196	
NM_174909	153339.0	MGC23909	hypothetical protein MGC23909	2.87271883	2.5903232000000003	
NM_001001410	115939.0	MGC24381	hypothetical protein MGC24381	1.83964581	3.753678	
NM_023939	65996.0	MGC2752	hypothetical protein MGC2752	2.02793989	3.753678	
NM_174923	203260.0	MGC31967	hypothetical protein MGC31967	3.25897436	0.637618	
NM_024313	79159.0	MGC3731	hypothetical protein MGC3731	2.20468472	3.2351467	
NM_024308	79154.0	MGC4172	short-chain dehydrogenase/reductase	2.52138128	1.9982331000000002	
NM_133375	115752.0	MGC4562	hypothetical protein MGC4562	0.35226211	3.3991674	-2.838795237
NM_012215	10724.0	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	0.39819197	1.9393426	-2.5113514969999997
NM_007283	11343.0	MGLL	monoglyceride lipase	2.11372377	2.4738185	
NM_001003794	11343.0	MGLL	monoglyceride lipase	2.11372377	2.4738185	
NM_002412	4255.0	MGMT	O-6-methylguanine-DNA methyltransferase	0.32579857	3.9508566	-3.069381182
NM_006533	8190.0	MIA	melanoma inhibitory activity	2.09430562	2.6012277000000004	
NM_021242	58526.0	MID1IP1	MID1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	1.88555128	3.9508566	
NM_004897	9562.0	MINPP1	multiple inositol polyphosphate histidine phosphatase, 1	0.38545913	4.9341886	-2.594308766
NM_198971	25988.0	MIZF	MBD2-interacting zinc finger	2.31811008	3.6724242999999994	
NM_015517	25988.0	MIZF	MBD2-interacting zinc finger	2.31811008	3.6724242999999994	
NM_003684	8569.0	MKNK1	MAP kinase interacting serine/threonine kinase 1	1.96443125	3.3991674	
NM_005439	8079.0	MLF2	myeloid leukemia factor 2	2.60329772	2.5903232000000003	
NM_152649	197259.0	MLKL	mixed lineage kinase domain-like	0.23048575	2.5903232000000003	-4.338663019
NM_007289	4311.0	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	0.22348452	1.7079054	-4.474582848
NM_007288	4311.0	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	0.22348452	1.7079054	-4.474582848
NM_000902	4311.0	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	0.22348452	1.7079054	-4.474582848
